اللعبة,الحد الأدنى - معالج,الحد الأدنى - ذاكرة,الحد الأدنى - كرت شاشة,الحد الأدنى - مساحة,الحد الأدنى - نظام,الموصى به - معالج,الموصى به - ذاكرة,الموصى به - كرت شاشة,الموصى به - مساحة,الموصى به - نظام,المصدر
Grand Theft Auto V,Intel Core 2 Quad CPU Q6600 2.40GHz,4 GB,NVIDIA 9800 GT 1GB,72 GB,Windows 10 64 Bit,Intel Core i5 3470 3.2GHz,8 GB,NVIDIA GTX 660 2GB,72 GB SSD,Windows 10 64 Bit,"technical.city, Steam Store, official game websites"
Cyberpunk 2077,Intel Core i5-3570K / AMD FX-8310,8 GB,NVIDIA GTX 970 / AMD Radeon RX 470,70 GB,Windows 10 64-bit,Intel Core i7-4790 / AMD Ryzen 3 3200G,12 GB,NVIDIA GTX 1060 6GB / AMD Radeon RX 570,70 GB SSD,Windows 10 64-bit,"technical.city, Steam Store, official game websites"
Red Dead Redemption 2,Intel Core i5-2500K / AMD FX-6300,8 GB,NVIDIA GTX 770 2GB / AMD Radeon R9 280 3GB,150 GB,Windows 10 64-bit,Intel Core i7-4770K / AMD Ryzen 5 1500X,12 GB,NVIDIA RTX 2060 / AMD RX 570,150 GB SSD,Windows 10 64-bit,"technical.city, Steam Store, official game websites"
Counter-Strike 2,Intel Core i5-750 / AMD Phenom II X4 965,8 GB,NVIDIA GTX 1050 / AMD Radeon HD 7950,85 GB,Windows 10 64-bit,Intel Core i7-9700K / AMD Ryzen 5 3600X,16 GB,NVIDIA RTX 3060 / AMD RX 6600 XT,85 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Fortnite,Intel Core i3-3225 / AMD FX-4350,4 GB,Intel HD 4000 / NVIDIA GTX 660,30 GB,Windows 10 64-bit,Intel Core i5-7300U / AMD Ryzen 3 3300U,8 GB,NVIDIA GTX 960 / AMD R9 280,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Minecraft,Intel Core i3-3210 / AMD A8-7600,2 GB,Intel HD Graphics 4000,4 GB,Windows 10,Intel Core i5-4690 / AMD A10-7800,4 GB,NVIDIA GTX 700 Series / AMD Radeon Rx 200,8 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
The Witcher 3: Wild Hunt,Intel CPU Core i5-2500K 3.3GHz,6 GB,NVIDIA GPU GeForce GTX 660,35 GB,Windows 7/8/8.1/10 64-bit,Intel CPU Core i7 3770 3.4 GHz,8 GB,NVIDIA GPU GeForce GTX 770,35 GB SSD,Windows 7/8/8.1/10 64-bit,"technical.city, Steam Store, official game websites"
Elden Ring,Intel Core i5-8400 / AMD Ryzen 3 3300X,12 GB,NVIDIA GTX 1060 3GB / AMD RX 580 4GB,60 GB,Windows 10 64-bit,Intel Core i7-8700K / AMD Ryzen 5 3600X,16 GB,NVIDIA GTX 1070 8GB / AMD RX VEGA 56 8GB,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Call of Duty: Modern Warfare II,Intel Core i3-6100 / AMD Ryzen 3 1200,8 GB,NVIDIA GTX 960 / AMD Radeon RX 470,125 GB,Windows 10 64-bit,Intel Core i5-6600K / AMD Ryzen 5 1400,12 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,125 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Valorant,Intel Core 2 Duo E8400 / AMD Athlon 200GE,4 GB,Intel HD 3000,30 GB,Windows 10 64-bit,Intel Core i3-4150 / AMD Ryzen 3 1200,4 GB,NVIDIA GT 730 / AMD Radeon R7 240,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Apex Legends,Intel Core i3-6300 / AMD FX-4350,6 GB,NVIDIA GT 640 / AMD Radeon HD 7730,56 GB,Windows 10 64-bit,Intel Core i5-3570K / AMD Ryzen 5,8 GB,NVIDIA GTX 970 / AMD Radeon R9 290,56 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
League of Legends,Intel Core i3-530 / AMD A6-3650,2 GB,NVIDIA GeForce 9600GT / AMD HD 6570,16 GB,Windows 10,Intel Core i5-3300 / AMD Ryzen 3 1200,4 GB,NVIDIA GeForce GTX 560 / AMD Radeon HD 6950,16 GB SSD,Windows 10/11,"technical.city, Steam Store, official game websites"
